crash_city,crash_country,lat,lon,death,airline,ori,year,dest
Grand Rapids,Michigan,42.9633599,-85.6680863,4,L.J. Simmons - Air Taxi,"Lansing, MI",1987,"Marquette, MI"
Near Lanzhou,China,36.061089,103.834304,6,CAAC,Lanzhou,1981,Chengdu
Paranaque,Philippines,14.4793095,121.0198229,21,Military - Philippine Air Force,Laoag,1977,Paranaque
Off Las Palmas,Canary Islands,28.1235459,-15.4362574,10,Aviaco,Las Palmas,1977,"Hamberg, Germany"
Near Las Vegas,Nevada,36.1699412,-115.1398296,10,Military - United States Navy,Las Vegas,1973,San Diego
Colorado City,Arizona,36.9902621,-112.9757702,10,SceniAir Lines,Las Vegas,1982,Grand Canyon
Riverside,California,33.9533487,-117.3961564,5,Riverside Air,"Las Vegas, NV",1977,"Riverside, CA"
Zephyr Cove,Nevada,39.0003616,-119.9525689,2,Air Taxi,"Las Vegas, NV",1988,"So. Lake Tahoe, CA"
Las Vegas,Nevada,36.1699412,-115.1398296,10,Las Vegas Airlines,"Las Vegas, NV",1979,"Santa Ana, CA"
Grand Canyon,Arizona,36.0544445,-112.1401108,10,Las Vegas Airlines,"Las Vegas, NV",1980,"Grand Canyon, AZ"
State College,Pennsylvania,40.7933949,-77.8600012,4,Quakertown Aviation - Air Taxi,"Latrobe, PA",1969,"State College, PA"
Mt. Apica,Canada,47.964822,-71.409412,5,Laurentian Air Services,LaTuque,1983,St. Honore
Houston,Texas,29.7604267,-95.3698028,5,Horizon Properties,"Lawton, OK",1981,"Huntsville, TX"
Galesburg,Illinois,40.9478158,-90.3712395,4,Agee Flying Service - Air Taxi,"Lebanon, TN",1969,"Galesburg, IL"
Leeville,Louisiana,29.2498728,-90.2118976,6,Rotor Airs In- Air Taxi,"Leeville, LA",1988,"Grand Isle, LA"
Manila,Philippines,14.5995124,120.9842195,1,Philippine Air Lines,Legaspi,1972,Manilla
Leningrad,Russia,60.0793208,31.8926644,93,Aeroflot,Leningrad,1976,Erevan
Near Krasnaya Polyana,USSR,54.1478418,25.2991586,174,Aeroflot,Leningrad,1978,Moscow
Southern Belarus,USSR,54.1478418,25.2991586,132,Aeroflot,Leningrad,1971,Kiev
Leticia,Colombia,-4.203165,-69.935907,80,Fuerza Aérea Colombiana,Leticia,1975,Bogota
Near Puerto Inca,Huanuco,-9.3775677,-74.9647145,91,Lineas Aereas Nacionales SA (Peru),Lima,1982,Pucallpa
Shanisu River,Peru,44.5621027,-73.553123,6,Aeroperu,Lima,1981,Caracas
Near Montelillo,Peru,-8.3695809,-74.5684112,46,Military - Peruvian Air Force,Lima,1972,Saposa
Cerro Lilio,Mexico,19.4062668,-99.0012998,3,Aeronaves del Peru,"Lima, Peu",1981,"Mexico City, Mexico"
Lincoln,Nebraska,40.8257625,-96.6851982,3,Lisa Jet Inc. - Air Taxi,"Lincoln, NB",1986,"Omaha, NB"
Texarkana,Arkansas,33.4417915,-94.0376881,2,Southwest Airlift,Little Rock,1984,Texarkana
Springfield,Missouri,37.2089572,-93.2922989,4,Air Taxi - Ozark Skyways Inc.,"Little Rock, AR",1970,"Springfield, MO"
Mt. San Pietro,near Ajaccio,41.919229,8.738635,180,Inex Adria Aviopromet (Yugoslavia),Ljubljana,1983,Ajaccio
Anchorage,Alaska,61.2180556,-149.9002778,2,Air Taxi,Local Flight,1980,No Record Found
Volta Redonda,Rio de Janeiro,-22.5077674,-44.0946129,4,Aero Clube de Volta Redonda,Local tour,1981,No Record Found
Near Loja,Ecuador,-4.0078909,-79.2112769,34,TAME,Loja,1970,Guayaquil
Loja,Peru,-11.7785433,-77.1615582,14,TAME,Loja,1972,Zumba
Near Rijeka,Yugoslavia,45.3270631,14.442176,78,Aviogenex (Yugoslavia),London,1985,Rijeka
Near Aarsele,West Vlaanderen,50.9969343,3.4224989,63,British European Airways,London,1987,Salzburg
London Heathrow,Staines,51.4820066,-0.4622036,118,British European Airways,London,1978,Brussels
Nailstone,England,52.6618289,-1.3835156,3,Dan Air Services,London,1970,East Midlands
Amsterdam,Netherlands,52.3702157,4.8951679,1,Kondair,London,1969,Amsterdam
Lockerbie,Scotland,55.122245,-3.349008,259,Pan American World Airways,London,1987,New York City
Rome,Italy,41.9027835,12.4963655,33,Uganda Airlines,London,1987,Rome
Near Long Tieng,Laos,19.1109553,102.9219684,13,Air America,"Long Tieng, Laos",1974,"Sam Thong, Laos"
Nyot Mo,Laos,20.9833012,105.7824732,4,Air America,"Long Tieng, Laos",1979,"Moung Cha, Laos"
Near Lonkin,Myanmar,25.6324599,96.372467,9,Burma Airways,Lonkin,1974,Myitkyina
Off Los Angeles,California,34.1758027,-118.3620324,38,United Air Lines,Los Angeles,1974,Denver
Ontario,California,34.0633443,-117.6508876,5,Western Airlines,Los Angeles,1970,Ontairo
